165.60556194001524; 122.23213938608572, 9.322279714999922; 123.8992141805787, 13.009599101521825; 51.14780977799718, 65.50599566060389; 82.14881767987643, 40.08646207627079; 32.17864567542536, 62.95938584158545; 131.63584414937387, 57.69638927306274; 49.315198053926764, 83.60437363549977; 49.44064100702546, 87.09401100008041; 66.8815441618198, 23.825308027708168; 130.00270144797318, 13.525610137807792; 36.75903844166321, 61.76318541029284; 115.87900424624249, 41.16996632579832; 63.41914144392408, 149.4774505389589; 61.392664924950026, 143.23260266987737; 90.70862497332263, 145.6259448160199; 147.12985927761355, 116.22424544233152; 75.51773596622252, 61.7053008404776; 150.4877562018662, 34.00330833110856; 13.536562485673205, 25.03135046899727; 52.427048490807366, 
165.60556194001524; 122.23213938608572, 9.322279714999922; 123.8992141805787, 13.009599101521825; 51.14780977799718, 65.50599566060389; 82.14881767987643, 40.08646207627079; 32.17864567542536, 62.95938584158545; 131.63584414937387, 57.69638927306274; 49.315198053926764, 83.60437363549977; 49.44064100702546, 87.09401100008041; 66.8815441618198, 23.825308027708168; 130.00270144797318, 13.525610137807792; 36.75903844166321, 61.76318541029284; 115.87900424624249, 41.16996632579832; 63.41914144392408, 149.4774505389589; 61.392664924950026, 143.23260266987737; 90.70862497332263, 145.6259448160199; 147.12985927761355, 116.22424544233152; 75.51773596622252, 61.7053008404776; 150.4877562018662, 25.03135046899727; 52.427048490807366, 42.9415986046946; 144.04019739143524, 
165.60556194001524; 122.23213938608572, 9.322279714999922; 123.8992141805787, 13.009599101521825; 51.14780977799718, 65.50599566060389; 82.14881767987643, 40.08646207627079; 32.17864567542536, 62.95938584158545; 131.63584414937387, 57.69638927306274; 49.315198053926764, 83.60437363549977; 49.44064100702546, 87.09401100008041; 66.8815441618198, 23.825308027708168; 130.00270144797318, 13.525610137807792; 36.75903844166321, 61.76318541029284; 115.87900424624249, 41.16996632579832; 63.41914144392408, 143.23260266987737; 90.70862497332263, 145.6259448160199; 147.12985927761355, 116.22424544233152; 75.51773596622252, 61.7053008404776; 150.4877562018662, 25.03135046899727; 52.427048490807366, 42.9415986046946; 144.04019739143524, 35.27831519240184; 85.70823056937222, 
165.60556194001524; 122.23213938608572, 9.322279714999922; 123.8992141805787, 13.009599101521825; 51.14780977799718, 65.50599566060389; 82.14881767987643, 40.08646207627079; 32.17864567542536, 62.95938584158545; 131.63584414937387, 83.60437363549977; 49.44064100702546, 87.09401100008041; 66.8815441618198, 23.825308027708168; 130.00270144797318, 13.525610137807792; 36.75903844166321, 61.76318541029284; 115.87900424624249, 41.16996632579832; 63.41914144392408, 143.23260266987737; 90.70862497332263, 145.6259448160199; 147.12985927761355, 116.22424544233152; 75.51773596622252, 61.7053008404776; 150.4877562018662, 25.03135046899727; 52.427048490807366, 42.9415986046946; 144.04019739143524, 35.27831519240184; 85.70823056937222, 8.18663439160833; 91.55844434151288, 
165.60556194001524; 122.23213938608572, 9.322279714999922; 123.8992141805787, 13.009599101521825; 51.14780977799718, 65.50599566060389; 82.14881767987643, 40.08646207627079; 32.17864567542536, 62.95938584158545; 131.63584414937387, 83.60437363549977; 49.44064100702546, 23.825308027708168; 130.00270144797318, 13.525610137807792; 36.75903844166321, 61.76318541029284; 115.87900424624249, 41.16996632579832; 63.41914144392408, 143.23260266987737; 90.70862497332263, 145.6259448160199; 147.12985927761355, 116.22424544233152; 75.51773596622252, 61.7053008404776; 150.4877562018662, 25.03135046899727; 52.427048490807366, 42.9415986046946; 144.04019739143524, 35.27831519240184; 85.70823056937222, 8.18663439160833; 91.55844434151288, 133.91340862865854; 119.25614250148263, 
165.60556194001524; 122.23213938608572, 9.322279714999922; 123.8992141805787, 13.009599101521825; 51.14780977799718, 65.50599566060389; 82.14881767987643, 40.08646207627079; 32.17864567542536, 62.95938584158545; 131.63584414937387, 83.60437363549977; 49.44064100702546, 23.825308027708168; 130.00270144797318, 13.525610137807792; 36.75903844166321, 61.76318541029284; 115.87900424624249, 41.16996632579832; 63.41914144392408, 143.23260266987737; 90.70862497332263, 145.6259448160199; 147.12985927761355, 116.22424544233152; 75.51773596622252, 61.7053008404776; 150.4877562018662, 42.9415986046946; 144.04019739143524, 35.27831519240184; 85.70823056937222, 8.18663439160833; 91.55844434151288, 133.91340862865854; 119.25614250148263, 61.07235227832979; 32.377967437382985, 
165.60556194001524; 122.23213938608572, 9.322279714999922; 123.8992141805787, 13.009599101521825; 51.14780977799718, 65.50599566060389; 82.14881767987643, 40.08646207627079; 32.17864567542536, 62.95938584158545; 131.63584414937387, 83.60437363549977; 49.44064100702546, 23.825308027708168; 130.00270144797318, 13.525610137807792; 36.75903844166321, 61.76318541029284; 115.87900424624249, 41.16996632579832; 63.41914144392408, 143.23260266987737; 90.70862497332263, 145.6259448160199; 147.12985927761355, 61.7053008404776; 150.4877562018662, 42.9415986046946; 144.04019739143524, 35.27831519240184; 85.70823056937222, 8.18663439160833; 91.55844434151288, 133.91340862865854; 119.25614250148263, 61.07235227832979; 32.377967437382985, 44.3927676566865; 112.01289322721435, 
165.60556194001524; 122.23213938608572, 9.322279714999922; 123.8992141805787, 13.009599101521825; 51.14780977799718, 65.50599566060389; 82.14881767987643, 40.08646207627079; 32.17864567542536, 62.95938584158545; 131.63584414937387, 83.60437363549977; 49.44064100702546, 23.825308027708168; 130.00270144797318, 13.525610137807792; 36.75903844166321, 61.76318541029284; 115.87900424624249, 41.16996632579832; 63.41914144392408, 143.23260266987737; 90.70862497332263, 145.6259448160199; 147.12985927761355, 61.7053008404776; 150.4877562018662, 42.9415986046946; 144.04019739143524, 35.27831519240184; 85.70823056937222, 8.18663439160833; 91.55844434151288, 61.07235227832979; 32.377967437382985, 44.3927676566865; 112.01289322721435, 123.01621784995697; 98.39329040354647, 
165.60556194001524; 122.23213938608572, 9.322279714999922; 123.8992141805787, 13.009599101521825; 51.14780977799718, 65.50599566060389; 82.14881767987643, 40.08646207627079; 32.17864567542536, 62.95938584158545; 131.63584414937387, 23.825308027708168; 130.00270144797318, 13.525610137807792; 36.75903844166321, 61.76318541029284; 115.87900424624249, 41.16996632579832; 63.41914144392408, 143.23260266987737; 90.70862497332263, 145.6259448160199; 147.12985927761355, 61.7053008404776; 150.4877562018662, 42.9415986046946; 144.04019739143524, 35.27831519240184; 85.70823056937222, 8.18663439160833; 91.55844434151288, 61.07235227832979; 32.377967437382985, 44.3927676566865; 112.01289322721435, 123.01621784995697; 98.39329040354647, 38.68055114174972; 128.17057582820573, 
165.60556194001524; 122.23213938608572, 9.322279714999922; 123.8992141805787, 13.009599101521825; 51.14780977799718, 65.50599566060389; 82.14881767987643, 40.08646207627079; 32.17864567542536, 62.95938584158545; 131.63584414937387, 23.825308027708168; 130.00270144797318, 61.76318541029284; 115.87900424624249, 41.16996632579832; 63.41914144392408, 143.23260266987737; 90.70862497332263, 145.6259448160199; 147.12985927761355, 61.7053008404776; 150.4877562018662, 42.9415986046946; 144.04019739143524, 35.27831519240184; 85.70823056937222, 8.18663439160833; 91.55844434151288, 61.07235227832979; 32.377967437382985, 44.3927676566865; 112.01289322721435, 123.01621784995697; 98.39329040354647, 38.68055114174972; 128.17057582820573, 117.98999633219184; 82.78618994889364, 
