163.9019408539517; 50.813205246291716, 32.58183715016031; 145.50575874140037, 48.9510324402168; 45.50570210828779, 125.39165149269272; 108.26385191873797, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 121.66354390685713; 120.99869146384636, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 22.023889015240155; 150.06824169096922, 159.56413122377546; 97.43125794792013, 103.85330779263336; 11.563587302590971, 71.75410988035273; 38.818406236674626, 70.79032212799467; 124.33562553220528, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 
163.9019408539517; 50.813205246291716, 32.58183715016031; 145.50575874140037, 48.9510324402168; 45.50570210828779, 125.39165149269272; 108.26385191873797, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 121.66354390685713; 120.99869146384636, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 22.023889015240155; 150.06824169096922, 159.56413122377546; 97.43125794792013, 103.85330779263336; 11.563587302590971, 70.79032212799467; 124.33562553220528, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 127.8045611044624; 31.093278558313017, 
163.9019408539517; 50.813205246291716, 32.58183715016031; 145.50575874140037, 48.9510324402168; 45.50570210828779, 125.39165149269272; 108.26385191873797, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 121.66354390685713; 120.99869146384636, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 159.56413122377546; 97.43125794792013, 103.85330779263336; 11.563587302590971, 70.79032212799467; 124.33562553220528, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 127.8045611044624; 31.093278558313017, 107.02101525734996; 38.251940335101075, 
163.9019408539517; 50.813205246291716, 48.9510324402168; 45.50570210828779, 125.39165149269272; 108.26385191873797, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 121.66354390685713; 120.99869146384636, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 159.56413122377546; 97.43125794792013, 103.85330779263336; 11.563587302590971, 70.79032212799467; 124.33562553220528, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 127.8045611044624; 31.093278558313017, 107.02101525734996; 38.251940335101075, 31.872274541391956; 94.40158081782519, 
163.9019408539517; 50.813205246291716, 48.9510324402168; 45.50570210828779, 125.39165149269272; 108.26385191873797, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 159.56413122377546; 97.43125794792013, 103.85330779263336; 11.563587302590971, 70.79032212799467; 124.33562553220528, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 127.8045611044624; 31.093278558313017, 107.02101525734996; 38.251940335101075, 31.872274541391956; 94.40158081782519, 103.60296720441804; 83.65639863553191, 
163.9019408539517; 50.813205246291716, 48.9510324402168; 45.50570210828779, 125.39165149269272; 108.26385191873797, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 103.85330779263336; 11.563587302590971, 70.79032212799467; 124.33562553220528, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 127.8045611044624; 31.093278558313017, 107.02101525734996; 38.251940335101075, 31.872274541391956; 94.40158081782519, 103.60296720441804; 83.65639863553191, 135.23874071897697; 123.0683506235466, 
163.9019408539517; 50.813205246291716, 125.39165149269272; 108.26385191873797, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 103.85330779263336; 11.563587302590971, 70.79032212799467; 124.33562553220528, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 127.8045611044624; 31.093278558313017, 107.02101525734996; 38.251940335101075, 31.872274541391956; 94.40158081782519, 103.60296720441804; 83.65639863553191, 135.23874071897697; 123.0683506235466, 93.90462123567713; 124.43325879357766, 
163.9019408539517; 50.813205246291716, 125.39165149269272; 108.26385191873797, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 114.69466052394262; 141.51607779328845, 94.81186896203879; 107.97864858675264, 103.85330779263336; 11.563587302590971, 70.79032212799467; 124.33562553220528, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 107.02101525734996; 38.251940335101075, 31.872274541391956; 94.40158081782519, 103.60296720441804; 83.65639863553191, 135.23874071897697; 123.0683506235466, 93.90462123567713; 124.43325879357766, 61.27365811664936; 95.00860571713564, 
163.9019408539517; 50.813205246291716, 125.39165149269272; 108.26385191873797, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 146.59952485449415; 21.63607035243407, 148.53470420213532; 123.91775044115066, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 94.81186896203879; 107.97864858675264, 103.85330779263336; 11.563587302590971, 70.79032212799467; 124.33562553220528, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 107.02101525734996; 38.251940335101075, 31.872274541391956; 94.40158081782519, 103.60296720441804; 83.65639863553191, 135.23874071897697; 123.0683506235466, 93.90462123567713; 124.43325879357766, 61.27365811664936; 95.00860571713564, 128.67184553446504; 33.37554763974347, 
163.9019408539517; 50.813205246291716, 125.39165149269272; 108.26385191873797, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 148.53470420213532; 123.91775044115066, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 94.81186896203879; 107.97864858675264, 103.85330779263336; 11.563587302590971, 70.79032212799467; 124.33562553220528, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 107.02101525734996; 38.251940335101075, 31.872274541391956; 94.40158081782519, 103.60296720441804; 83.65639863553191, 135.23874071897697; 123.0683506235466, 93.90462123567713; 124.43325879357766, 61.27365811664936; 95.00860571713564, 128.67184553446504; 33.37554763974347, 11.927225689933021; 69.81810409288758, 
